aX,aY,aZ,gX,gY,gZ
0.367,0.204,0.078,-120.056,80.322,-3.113
0.345,0.285,0.001,-141.541,81.543,11.230
0.283,0.400,-0.100,-154.785,92.896,28.503
0.249,0.503,-0.215,-155.762,108.215,39.551
0.258,0.606,-0.352,-151.550,116.882,39.856
0.304,0.672,-0.456,-143.677,111.023,31.555
0.356,0.691,-0.492,-135.437,90.454,14.771
0.402,0.662,-0.450,-128.723,60.425,-7.996
0.433,0.579,-0.364,-123.108,31.494,-30.151
0.463,0.425,-0.270,-120.239,14.526,-44.373
0.467,0.297,-0.214,-124.207,14.160,-45.715
0.469,0.231,-0.209,-130.798,26.978,-38.391
0.492,0.187,-0.264,-135.193,49.988,-25.146
0.489,0.204,-0.372,-138.184,77.515,-5.493
0.485,0.278,-0.504,-136.841,104.614,14.771
0.499,0.390,-0.648,-132.141,123.169,28.931
0.533,0.499,-0.761,-124.817,125.549,32.776
0.583,0.564,-0.810,-117.920,109.070,24.719
0.634,0.551,-0.795,-113.586,75.256,6.775
0.645,0.485,-0.723,-109.802,36.438,-13.123
0.628,0.390,-0.616,-106.628,10.071,-27.344
0.605,0.265,-0.555,-107.666,6.042,-29.785
0.590,0.166,-0.561,-111.511,19.287,-21.851
0.579,0.170,-0.620,-115.051,38.269,-5.676
0.532,0.258,-0.753,-118.774,60.120,16.541
0.514,0.386,-0.883,-116.089,79.895,35.095
0.531,0.497,-1.003,-108.643,88.989,43.640
0.568,0.576,-1.076,-99.731,82.825,42.175
0.614,0.595,-1.090,-91.980,60.730,31.311
0.651,0.569,-1.035,-86.914,27.344,14.587
0.669,0.514,-0.938,-84.656,-6.042,-2.563
0.643,0.435,-0.825,-83.130,-30.457,-14.893
0.575,0.366,-0.719,-79.407,-35.950,-16.602
0.482,0.314,-0.671,-75.134,-18.066,-5.005
0.407,0.323,-0.699,-72.571,14.771,13.428
0.371,0.423,-0.793,-73.669,46.387,30.090
0.367,0.521,-0.935,-75.500,67.871,38.452
0.494,0.623,-1.038,-73.975,74.768,36.926
0.490,0.677,-1.158,-70.374,65.369,28.259
0.455,0.635,-1.179,-68.237,49.072,14.526
0.564,0.611,-1.148,-63.171,20.325,-12.024
0.587,0.529,-1.099,-61.951,-6.165,-28.076
0.612,0.479,-1.004,-52.307,-22.522,-32.593
0.582,0.437,-0.919,-41.992,-21.362,-23.804
0.545,0.425,-0.863,-31.738,-5.493,-8.728
0.521,0.451,-0.870,-28.564,14.587,6.226
0.537,0.535,-0.922,-31.006,27.649,15.259
0.527,0.577,-0.968,-33.508,31.006,15.625
0.542,0.595,-0.990,-32.410,28.748,15.015
0.564,0.597,-0.998,-27.649,24.353,10.986
0.587,0.584,-0.987,-23.499,18.372,6.042
0.609,0.568,-0.969,-20.264,11.353,1.038
0.623,0.541,-0.945,-17.151,4.333,-3.174
0.633,0.527,-0.908,-12.268,0.366,-4.089
0.628,0.519,-0.857,-6.104,0.793,-1.465
0.620,0.498,-0.808,-2.014,2.747,1.709
0.598,0.482,-0.780,-2.075,3.967,4.700
0.569,0.496,-0.771,-4.761,4.395,7.751
0.544,0.516,-0.779,-7.874,4.944,9.460
0.527,0.528,-0.801,-9.766,6.165,9.460
0.525,0.532,-0.816,-9.338,6.958,8.179
0.522,0.535,-0.825,-7.446,6.592,6.531
0.551,0.542,-0.827,-5.493,5.249,4.639
0.550,0.540,-0.843,-3.540,2.502,2.808
0.512,0.526,-0.827,-0.366,0.427,2.075
0.518,0.502,-0.815,2.075,-0.610,-0.061
0.536,0.475,-0.801,3.113,-1.221,-1.465
0.539,0.447,-0.775,2.869,-1.709,-0.610
0.520,0.446,-0.758,1.099,-1.770,2.441
0.498,0.467,-0.737,-0.122,-1.587,4.272
0.480,0.468,-0.732,-1.343,-0.732,4.883
0.461,0.460,-0.750,-2.625,0.854,4.272
0.465,0.480,-0.767,-1.953,1.709,3.601
0.472,0.486,-0.783,0.427,1.892,2.625
0.489,0.484,-0.781,3.723,1.282,1.587
0.497,0.471,-0.768,5.859,-0.061,-0.061
0.497,0.466,-0.750,6.897,-1.770,-0.977
0.497,0.470,-0.736,7.080,-2.380,-0.732
0.496,0.472,-0.731,6.714,-1.221,0.732
0.499,0.470,-0.737,6.226,1.160,2.197
0.501,0.459,-0.750,5.005,3.174,3.723
0.505,0.460,-0.759,3.418,3.601,4.761
0.505,0.477,-0.765,1.953,3.174,5.554
0.507,0.485,-0.765,1.404,2.380,5.249

0.530,0.616,-1.427,56.763,-1.526,9.705
0.538,0.627,-1.474,70.496,-3.113,10.681
0.525,0.584,-1.543,82.764,-8.789,8.728
0.496,0.510,-1.628,95.276,-17.456,5.493
0.454,0.459,-1.715,108.521,-23.804,3.784
0.421,0.449,-1.764,124.451,-29.968,4.150
0.434,0.407,-1.745,143.677,-40.100,0.244
0.411,0.327,-1.691,158.752,-55.054,-5.859
0.376,0.273,-1.593,169.128,-68.481,-10.315
0.339,0.239,-1.499,179.993,-73.303,-10.376
0.283,0.224,-1.446,194.092,-64.880,-5.981
0.249,0.210,-1.445,211.975,-45.898,0.122
0.234,0.179,-1.470,231.995,-29.846,3.052
0.218,0.138,-1.504,248.047,-26.611,-0.549
0.193,0.096,-1.472,259.827,-36.316,-7.507
0.166,0.086,-1.369,268.555,-54.382,-17.456
0.144,0.054,-1.214,272.766,-81.665,-34.851
0.137,0.003,-1.048,272.034,-114.624,-56.580
0.144,-0.009,-0.844,271.729,-138.977,-72.388
0.157,-0.032,-0.668,273.071,-149.109,-78.064
0.175,-0.000,-0.549,273.376,-147.278,-76.111
0.196,0.052,-0.484,275.513,-137.695,-71.594
0.251,0.098,-0.402,281.494,-127.014,-67.871
0.279,0.096,-0.292,285.645,-127.502,-67.566
0.265,0.034,-0.162,281.677,-141.113,-72.205
0.255,0.007,-0.009,270.752,-156.311,-77.332
0.240,-0.069,0.122,259.766,-164.062,-80.078
0.246,-0.133,0.240,249.878,-159.302,-76.721
0.294,-0.132,0.364,246.948,-142.578,-63.477
0.331,-0.089,0.496,250.061,-119.995,-45.471
0.394,-0.063,0.634,254.395,-93.323,-29.968
0.480,-0.061,0.738,259.033,-65.796,-17.639
0.591,-0.071,0.864,266.663,-45.227,-7.690
0.705,-0.162,1.028,271.912,-38.635,-2.258
0.785,-0.265,1.271,268.921,-49.438,-0.427
0.800,-0.437,1.619,259.277,-77.332,-5.554
0.847,-0.682,2.180,245.300,-116.577,-20.752
0.802,-1.151,2.905,236.267,-156.799,-39.612
0.590,-1.683,3.681,215.027,-195.435,-49.561
0.347,-1.983,4.000,151.794,-227.844,-53.345
0.181,-1.736,4.000,47.180,-216.370,-44.128
0.083,-1.294,3.549,-54.199,-143.555,-16.052
0.200,-0.696,2.712,-116.821,-41.870,27.588
0.093,-0.167,1.856,-140.564,49.744,73.425
0.106,0.348,1.230,-148.926,73.425,77.087
0.113,0.628,0.912,-160.217,40.100,49.805
0.135,0.677,0.852,-158.020,-7.568,6.592
0.179,0.677,0.880,-153.137,-39.429,-24.719
0.220,0.682,0.891,-146.484,-48.889,-41.992
0.262,0.654,0.893,-137.390,-42.725,-49.561
