aX,aY,aZ,gX,gY,gZ
0.297,1.076,1.396,58.533,-15.808,10.132
0.254,1.189,1.428,62.927,2.686,32.959
0.144,1.186,1.339,62.866,31.616,43.396
-0.062,1.156,1.148,57.312,57.007,45.776
-0.359,1.162,0.907,47.668,72.021,51.392
-0.708,1.073,0.593,32.898,83.679,58.777
-1.085,0.845,0.277,20.081,94.971,48.096
-1.451,0.479,-0.049,19.348,103.760,12.817
-1.631,-0.088,-0.405,33.875,106.873,-42.969
-1.703,-0.832,-0.687,62.500,94.666,-124.756
-1.770,-1.603,-0.821,91.431,66.956,-216.980
-1.724,-2.526,-0.859,117.371,41.870,-284.058
-1.599,-3.251,-0.681,134.827,29.236,-329.590
-1.311,-3.640,-0.494,142.273,24.719,-351.990
-0.887,-3.742,-0.090,130.981,16.968,-360.596
-0.213,-3.526,0.291,126.465,20.325,-365.356
0.610,-3.151,0.453,117.249,63.538,-338.440
1.214,-2.740,0.335,88.562,137.207,-261.841
1.620,-2.245,0.180,59.204,184.265,-164.185
1.798,-1.838,0.049,36.011,164.185,-83.862
1.673,-1.619,-0.014,5.737,85.022,-26.184
1.217,-1.543,0.024,-31.677,-24.109,24.109
0.660,-1.442,0.219,-61.646,-127.930,71.228
0.071,-1.448,0.484,-81.482,-191.040,107.300
-0.462,-1.474,0.655,-86.853,-208.618,131.348
-0.852,-1.531,0.766,-83.923,-193.665,139.832
-0.979,-1.584,0.692,-95.093,-166.443,133.057
-1.035,-1.554,0.374,-124.634,-128.845,130.310
-1.051,-1.426,0.091,-150.818,-88.928,138.550
-1.088,-1.238,-0.130,-158.752,-62.683,148.682
-1.072,-1.048,-0.260,-151.489,-46.631,156.250
-1.050,-0.888,-0.293,-134.338,-41.748,153.015
-0.994,-0.725,-0.244,-112.244,-40.283,144.958
-0.905,-0.561,-0.131,-89.233,-35.583,133.789
-0.780,-0.467,0.017,-70.618,-29.846,121.277
-0.673,-0.400,0.187,-60.852,-30.273,110.046
-0.574,-0.353,0.354,-60.730,-37.415,97.534
-0.475,-0.349,0.512,-65.735,-47.607,86.487
-0.462,-0.342,0.653,-72.632,-58.411,82.825
-0.439,-0.287,0.758,-78.125,-63.110,82.397
-0.416,-0.161,0.866,-78.491,-58.228,81.604
-0.365,-0.043,0.957,-68.298,-40.100,78.613
-0.346,0.032,1.004,-52.551,-15.930,73.914
-0.287,0.088,1.054,-33.508,3.479,67.810
-0.255,0.137,1.115,-14.221,12.573,55.481
-0.232,0.128,1.165,-1.099,12.207,39.917
-0.231,0.083,1.216,5.554,5.310,23.682
-0.217,-0.009,1.252,6.470,-3.418,10.132
-0.205,-0.056,1.280,3.235,-9.888,0.366
-0.146,-0.034,1.311,-0.854,-10.254,-3.052
-0.063,0.070,1.344,-4.761,-3.418,-0.244
-0.030,0.132,1.335,-8.362,6.226,5.188
-0.000,0.196,1.311,-11.108,16.357,8.301
0.031,0.248,1.272,-12.146,23.865,7.324
0.037,0.243,1.223,-14.160,27.161,3.662
0.060,0.211,1.181,-15.259,26.794,-3.235
0.080,0.168,1.157,-15.686,25.269,-11.475
0.114,0.071,1.105,-15.076,23.376,-17.212
0.118,0.011,1.084,-11.475,22.705,-21.912
0.138,-0.010,1.069,-12.085,21.973,-17.761
0.137,-0.003,1.068,-16.846,22.949,-8.240
0.133,0.077,1.098,-20.142,24.719,2.380
0.105,0.128,1.120,-21.362,26.917,10.315
0.070,0.162,1.140,-23.376,27.588,13.794
0.037,0.190,1.163,-25.940,25.635,14.038
0.003,0.190,1.161,-29.602,24.536,10.681
-0.008,0.175,1.130,-33.020,24.292,4.700
-0.006,0.151,1.083,-35.706,23.132,-0.183
-0.008,0.139,1.040,-35.767,20.386,-3.113
-0.005,0.134,1.002,-32.776,17.273,-4.578
0.009,0.125,0.977,-27.893,16.235,-5.066
0.016,0.138,0.956,-21.240,16.296,-3.601
0.026,0.133,0.943,-14.771,17.029,0.366
0.035,0.164,0.955,-7.935,17.334,4.517
0.019,0.175,0.973,-1.953,16.235,7.202
-0.003,0.176,0.991,1.831,14.282,8.484
-0.025,0.164,1.001,4.150,12.085,7.324
-0.047,0.142,1.004,4.333,8.728,4.150
-0.063,0.107,1.005,3.601,4.700,0.000
-0.062,0.051,1.008,1.770,1.038,-4.456
-0.042,0.009,1.010,-0.366,-2.380,-7.935
-0.034,-0.022,1.005,-2.808,-5.432,-9.888
-0.015,-0.069,1.001,-5.249,-7.629,-9.888
0.017,-0.129,1.002,-6.409,-8.972,-8.240
0.043,-0.141,1.016,-6.104,-9.888,-3.967
0.045,-0.152,1.026,-7.568,-8.911,3.052
0.037,-0.149,1.029,-7.629,-6.042,9.705
0.021,-0.140,1.023,-6.897,-2.380,15.015
0.011,-0.122,1.011,-5.615,1.831,17.822
0.002,-0.107,1.000,-4.333,5.798,19.165
-0.008,-0.090,0.984,-3.784,8.057,19.043
-0.027,-0.070,0.959,-2.808,8.850,17.944
-0.033,-0.051,0.939,-1.160,9.155,14.221
-0.031,-0.049,0.926,0.549,8.179,9.338
-0.027,-0.053,0.927,3.174,6.409,4.761
-0.025,-0.067,0.936,4.761,4.578,2.258
-0.015,-0.082,0.948,4.883,4.089,1.465
-0.010,-0.087,0.954,4.761,4.578,2.136
-0.001,-0.095,0.958,4.089,5.737,4.211
-0.006,-0.091,0.959,3.235,6.531,7.080
-0.016,-0.081,0.958,1.709,6.958,9.277
-0.032,-0.074,0.951,0.732,6.836,10.315
-0.052,-0.063,0.947,1.343,6.104,9.888
-0.056,-0.052,0.945,3.357,5.798,7.019
-0.057,-0.060,0.945,5.249,4.700,3.113
-0.052,-0.073,0.952,6.775,2.869,-0.671
-0.047,-0.082,0.958,7.874,0.732,-3.723
-0.044,-0.105,0.967,8.606,-1.038,-5.371
-0.029,-0.126,0.984,9.277,-1.953,-6.042
-0.021,-0.144,0.999,9.155,-1.831,-5.798
-0.018,-0.154,1.001,8.057,-0.732,-5.066
-0.006,-0.169,1.008,6.836,1.221,-3.662
-0.008,-0.175,1.005,5.249,3.479,-0.671
-0.004,-0.172,1.000,3.967,5.493,2.136

0.290,0.946,1.659,101.440,-9.644,-6.897
0.285,0.932,1.677,112.610,3.967,-11.658
0.239,0.816,1.592,113.342,21.729,-20.386
0.198,0.725,1.479,105.225,31.311,-31.128
0.148,0.650,1.372,88.074,26.306,-40.466
0.084,0.562,1.282,63.477,9.155,-52.063
0.036,0.505,1.216,40.527,-12.390,-62.988
-0.045,0.423,1.110,24.048,-29.602,-68.115
-0.184,0.320,0.980,16.418,-38.513,-66.650
-0.421,0.264,0.837,20.142,-36.682,-52.490
-0.720,0.207,0.666,31.372,-16.724,-25.208
-1.072,0.081,0.440,46.265,21.973,0.488
-1.456,-0.162,0.147,54.504,68.848,5.676
-1.728,-0.525,-0.191,58.838,104.187,-25.635
-1.882,-1.072,-0.538,61.523,113.831,-105.957
-1.922,-1.719,-0.796,63.171,87.280,-218.384
-1.751,-2.432,-0.921,73.853,43.457,-320.862
-1.467,-3.091,-0.890,92.957,14.038,-388.245
-1.059,-3.423,-0.715,113.770,6.104,-402.832
-0.253,-3.161,-0.265,119.690,11.414,-368.835
0.495,-2.828,-0.217,149.414,45.227,-326.111
1.015,-2.349,-0.142,155.701,101.257,-272.827
1.408,-2.000,0.009,130.859,112.305,-190.369
1.542,-1.775,0.247,101.257,54.626,-125.610
1.353,-1.707,0.524,58.533,-49.500,-81.543
0.907,-1.658,0.780,-0.427,-145.447,-31.494
0.332,-1.498,0.909,-59.509,-187.012,35.889
-0.346,-1.353,1.047,-106.567,-162.964,112.671
-0.948,-1.194,1.084,-120.667,-114.380,168.457
-1.197,-1.101,1.019,-112.366,-61.218,186.646
-1.183,-1.142,0.801,-111.938,-17.761,172.729
-1.072,-1.179,0.499,-127.808,7.019,157.043
-0.983,-1.109,0.247,-143.127,14.587,153.625
-0.939,-0.972,0.092,-143.250,9.033,154.480
-0.901,-0.858,0.003,-129.395,-0.732,150.269
-0.859,-0.785,0.029,-108.887,-9.033,140.076
-0.808,-0.743,0.095,-84.534,-16.052,127.686
-0.752,-0.693,0.196,-63.843,-15.991,118.164
-0.667,-0.615,0.332,-50.293,-14.526,112.000
-0.558,-0.474,0.482,-47.913,-16.113,106.628
-0.474,-0.358,0.597,-53.894,-27.161,99.487
-0.429,-0.259,0.665,-57.373,-37.048,84.656
-0.374,-0.221,0.729,-61.340,-46.936,66.040
