aX,aY,aZ,gX,gY,gZ
0.006,0.248,0.977,-5.920,-21.545,4.578
-0.020,0.251,0.907,-11.230,-25.330,10.315
-0.032,0.223,0.856,-15.198,-24.658,14.893
-0.037,0.179,0.829,-17.700,-21.179,17.761
-0.025,0.122,0.818,-19.165,-14.038,17.944
-0.014,0.143,0.909,-22.400,-2.869,14.832
-0.020,0.148,0.978,-13.184,0.366,8.362
-0.004,0.166,0.998,-0.122,0.977,2.563
-0.008,0.210,1.040,3.296,2.869,-0.977
-0.011,0.243,1.077,4.272,2.808,-2.319
-0.010,0.268,1.070,4.761,-0.549,-1.282
-0.027,0.273,1.037,1.404,-4.333,2.136
-0.035,0.249,1.000,-3.418,-7.324,7.080
-0.038,0.204,0.964,-7.385,-8.667,11.230
-0.038,0.169,0.946,-8.850,-7.751,12.939
-0.030,0.140,0.944,-7.507,-5.188,12.695
-0.023,0.119,0.954,-5.127,-2.197,10.742
-0.011,0.124,0.972,-2.319,0.732,7.080
-0.001,0.139,1.002,1.770,3.723,3.113
0.005,0.163,1.035,5.737,5.493,0.183
0.010,0.185,1.057,7.080,5.005,-1.404
0.010,0.201,1.059,5.798,2.686,-1.648
0.001,0.208,1.036,3.662,-0.427,-0.610
-0.011,0.205,1.000,1.160,-3.296,0.732
-0.033,0.196,0.953,-1.099,-4.822,2.380
-0.031,0.180,0.936,-2.563,-4.333,3.296
-0.044,0.166,0.935,-2.625,-2.319,3.296
-0.048,0.159,0.920,-1.953,-1.099,2.319
-0.043,0.160,0.924,-1.221,0.854,1.160
-0.035,0.171,0.948,0.366,3.479,-0.061
-0.025,0.187,0.975,3.296,5.432,-1.282
-0.018,0.203,1.003,5.188,6.104,-2.197
-0.014,0.216,1.024,5.310,5.066,-1.953
-0.012,0.226,1.027,4.639,2.502,-1.160
-0.020,0.224,1.012,3.296,-0.793,0.122
-0.037,0.213,0.990,1.160,-3.357,1.831
-0.050,0.201,0.964,-0.244,-4.700,3.479
-0.058,0.184,0.938,-0.427,-5.249,4.333
-0.064,0.165,0.925,-0.977,-4.822,4.395
-0.066,0.151,0.908,-0.916,-4.089,3.723
-0.063,0.151,0.890,0.488,-2.930,2.380
-0.057,0.160,0.895,2.380,-0.549,0.610
-0.046,0.174,0.928,4.395,2.686,-0.977
-0.030,0.188,0.976,6.165,4.578,-1.953
-0.020,0.193,1.009,5.920,3.906,-1.892
-0.018,0.195,1.013,3.906,1.160,-0.977
-0.027,0.192,1.003,1.282,-2.014,0.244
-0.037,0.177,0.981,-0.793,-4.333,1.526
-0.042,0.160,0.949,-1.648,-5.371,2.625
-0.048,0.146,0.929,-2.319,-5.066,2.686
-0.049,0.136,0.923,-2.930,-4.028,2.319
-0.048,0.131,0.921,-2.319,-2.686,1.221
-0.045,0.139,0.922,-0.916,-1.343,-0.061
-0.041,0.150,0.939,0.366,0.244,-1.343
-0.036,0.167,0.969,1.587,1.709,-2.197
-0.034,0.188,0.996,1.892,1.953,-2.686
-0.035,0.205,1.006,1.160,0.732,-2.258
-0.037,0.216,1.002,-0.305,-1.221,-1.099
-0.043,0.212,1.000,-2.197,-2.686,0.305
-0.048,0.206,0.987,-2.869,-3.418,1.404
-0.052,0.195,0.963,-2.808,-4.211,2.197
-0.058,0.191,0.948,-2.258,-4.028,2.563
-0.060,0.187,0.933,-1.953,-3.113,2.319
-0.055,0.190,0.920,-1.465,-1.892,1.831
