aX,aY,aZ,gX,gY,gZ
-0.859,0.380,1.903,-86.365,-38.208,41.077
-0.760,0.335,1.836,-69.702,-27.588,53.223
-0.682,0.228,1.815,-49.927,-13.672,62.073
-0.627,0.182,1.889,-32.898,2.014,66.833
-0.602,0.083,2.036,-20.874,14.038,71.472
-0.604,0.064,2.130,-19.287,17.395,74.463
-0.542,0.003,2.141,-17.029,13.062,78.857
-0.441,-0.081,2.130,-10.559,10.986,81.848
-0.342,-0.144,2.109,0.610,8.850,80.994
-0.217,-0.195,2.068,18.250,8.911,76.233
-0.119,-0.182,2.013,35.889,9.216,68.359
-0.073,-0.128,1.950,50.354,9.155,59.570
-0.058,-0.095,1.891,63.782,9.216,52.673
-0.070,-0.064,1.888,71.411,7.629,48.584
-0.102,0.002,1.871,74.463,1.587,47.546
-0.086,0.068,1.777,76.050,-7.507,49.011
-0.049,0.168,1.579,73.181,-21.118,52.063
0.036,0.177,1.404,68.237,-30.579,57.495
0.120,0.061,1.307,63.538,-33.752,64.453
0.219,-0.094,1.236,59.143,-35.706,68.176
0.276,-0.176,1.126,57.800,-38.757,65.857
0.287,-0.185,0.999,60.730,-41.626,60.608
0.289,-0.163,0.862,68.115,-41.443,53.711
0.306,-0.122,0.740,73.547,-37.781,47.302
0.341,-0.052,0.633,73.364,-32.288,42.236
0.365,0.002,0.551,69.153,-26.306,40.039
0.399,-0.026,0.536,63.110,-17.212,41.809
0.451,-0.167,0.556,56.396,-8.423,44.678
0.494,-0.283,0.586,44.189,-4.822,44.006
0.523,-0.351,0.636,33.386,-4.578,38.696
0.561,-0.386,0.643,32.959,-6.226,30.212
0.569,-0.366,0.610,34.241,-8.606,18.494
0.569,-0.255,0.527,30.640,-12.146,6.958
0.565,-0.151,0.432,31.067,-11.780,-1.099
0.566,-0.087,0.403,33.936,-4.395,-5.432
0.583,-0.021,0.439,33.875,5.859,-8.179
0.574,0.032,0.498,34.546,15.869,-8.667
0.583,0.036,0.560,35.828,23.560,-6.836
0.581,-0.033,0.651,32.654,28.687,-3.540
0.600,-0.144,0.743,24.597,30.029,-1.221
0.597,-0.282,0.795,16.296,26.184,-2.380
0.607,-0.380,0.819,11.841,20.386,-8.362
0.594,-0.396,0.802,13.306,15.869,-19.775
0.552,-0.347,0.683,16.418,9.827,-33.569
0.519,-0.250,0.579,19.714,8.423,-45.044
