aX,aY,aZ,gX,gY,gZ
1.000,0.079,1.357,0.732,55.298,-35.828
0.907,0.064,1.488,-3.418,52.979,-39.368
0.836,0.004,1.635,-12.573,45.715,-39.368
0.774,-0.080,1.731,-24.963,30.823,-39.185
0.711,-0.173,1.731,-36.926,11.047,-41.321
0.613,-0.208,1.665,-43.579,-5.798,-49.194
0.490,-0.190,1.627,-37.659,-13.794,-62.683
0.366,-0.140,1.694,-21.362,-11.902,-80.444
0.208,-0.013,1.780,-1.831,-7.080,-99.365
0.016,0.147,1.917,17.883,-4.089,-114.685
-0.117,0.370,2.079,32.410,-4.517,-124.695
-0.319,0.635,2.078,40.771,-16.235,-128.479
-0.477,0.872,1.952,39.246,-35.706,-124.451
-0.615,0.997,1.729,34.668,-54.749,-111.572
-0.705,1.012,1.537,31.311,-65.125,-94.177
-0.784,0.921,1.453,30.029,-67.810,-76.050
-0.848,0.738,1.416,28.931,-67.566,-58.777
-0.939,0.561,1.348,28.198,-69.092,-46.448
-1.034,0.473,1.251,30.273,-71.106,-40.527
-1.089,0.464,1.165,36.743,-70.496,-37.964
-1.129,0.561,1.050,48.889,-68.542,-37.415
-1.149,0.703,0.893,64.453,-66.345,-34.607
-1.139,0.807,0.727,76.111,-62.744,-25.940
-1.104,0.857,0.597,81.177,-56.458,-11.536
-1.043,0.837,0.496,79.895,-48.584,6.287
-0.984,0.726,0.452,72.327,-40.283,26.062
-0.905,0.571,0.446,60.913,-31.982,43.823
-0.822,0.448,0.421,50.537,-26.367,56.824
-0.737,0.347,0.360,42.419,-23.254,65.796
-0.662,0.261,0.312,35.278,-19.409,71.350
-0.599,0.201,0.295,31.311,-13.123,73.364
-0.531,0.177,0.276,32.471,-7.019,72.693
-0.456,0.177,0.243,35.706,-3.052,70.740
-0.365,0.158,0.239,37.415,1.282,69.946
-0.237,0.149,0.244,36.743,6.714,70.435
-0.131,0.140,0.256,36.621,13.367,71.960
-0.037,0.116,0.282,33.691,21.545,73.608
0.035,0.073,0.348,27.222,30.579,75.439
0.112,0.010,0.439,19.287,38.330,76.782
0.181,-0.044,0.513,11.108,42.847,76.782
0.260,-0.102,0.575,3.845,44.800,75.745
0.351,-0.145,0.632,-0.793,46.326,72.266
0.420,-0.167,0.719,0.366,48.767,65.430
0.495,-0.168,0.810,6.897,52.124,55.603
0.520,-0.168,0.930,16.663,54.626,45.471
0.553,-0.159,1.049,24.780,56.580,36.743
0.555,-0.158,1.149,30.029,53.650,29.541
0.533,-0.108,1.221,32.349,46.509,23.926
0.522,-0.091,1.240,27.832,34.729,21.240
0.469,-0.076,1.214,10.193,18.127,21.973
0.410,-0.046,1.123,-4.028,1.831,23.132
0.361,-0.050,1.030,-9.888,-8.911,24.170
0.317,-0.077,0.965,-12.756,-13.672,24.414
0.269,-0.102,0.914,-14.893,-15.259,23.804
0.224,-0.114,0.874,-14.587,-14.893,22.156
0.183,-0.116,0.866,-11.047,-11.047,19.348
0.166,-0.111,0.905,-5.432,-5.554,15.442
0.147,-0.109,0.970,0.061,-1.099,11.108

0.575,0.769,1.605,-99.548,56.396,-21.790
0.670,0.802,1.784,-106.812,54.626,-18.433
0.797,0.826,1.825,-121.887,44.800,-14.221
0.880,0.863,1.915,-139.038,42.908,-15.076
0.918,0.859,2.221,-142.761,51.697,-23.132
0.843,0.811,2.590,-119.873,51.514,-35.889
0.766,0.785,2.686,-83.557,29.175,-49.744
0.648,0.797,2.574,-54.749,4.089,-61.523
0.536,0.841,2.464,-38.025,-10.315,-69.824
0.401,0.935,2.382,-32.715,-16.357,-74.890
0.317,1.010,2.274,-24.841,-20.508,-76.904
0.291,1.005,2.175,-7.080,-20.630,-78.125
0.233,0.947,2.199,10.315,-15.442,-81.177
0.156,0.876,2.255,21.362,-12.878,-86.121
0.010,0.807,2.358,29.602,-15.198,-90.820
-0.123,0.762,2.506,34.912,-20.630,-94.543
-0.265,0.816,2.580,40.344,-34.668,-97.107
-0.400,0.917,2.482,48.401,-57.861,-97.351
-0.517,1.039,2.215,59.753,-82.764,-94.910
-0.615,1.187,1.882,69.946,-99.426,-90.576
-0.724,1.317,1.553,79.834,-105.286,-83.252
-0.802,1.368,1.307,91.248,-101.135,-72.754
-0.831,1.326,1.156,101.013,-88.989,-59.998
-0.840,1.184,1.060,108.093,-76.782,-46.204
-0.849,0.975,0.995,111.633,-68.359,-32.654
-0.885,0.786,0.893,109.192,-64.636,-22.095
-0.894,0.644,0.833,104.004,-62.744,-14.404
-0.929,0.592,0.849,98.511,-63.965,-9.094
-0.910,0.572,0.825,96.436,-70.068,-3.967
-0.960,0.580,0.708,102.356,-80.566,-0.793
-0.973,0.604,0.453,112.000,-93.567,1.953
-0.988,0.650,0.109,120.300,-101.501,6.775
-1.006,0.753,-0.194,126.526,-97.595,12.268
-0.990,0.842,-0.345,132.202,-79.651,21.851
-0.889,0.803,-0.362,132.507,-53.955,37.231
